,url,title,year,genre,gross_usa,budget,worldwide_gross,pg_rated,rating,rating_pop
124,https://www.imdb.com/title/tt0053244/,The Savage Innocents,1960,"['Adventure', 'Crime', 'Drama']",,,,,6.9,"1,658"
125,https://www.imdb.com/title/tt0054099/,Il mulino delle donne di pietra,1960,"['Horror', 'Sci-Fi']",,,,,6.6,"1,275"
126,https://www.imdb.com/title/tt0054343/,The Story of Ruth,1960,"['Drama', 'History', 'Romance']",,"$2,930,000",,,6.7,973
127,https://www.imdb.com/title/tt0054446/,Visit to a Small Planet,1960,"['Comedy', 'Sci-Fi']",,,,,6.1,"1,081"
128,https://www.imdb.com/title/tt0053902/,Heller in Pink Tights,1960,"['Action', 'Comedy', 'Romance', 'Western']",,"$3,500,000",,,6.0,"1,176"
129,https://www.imdb.com/title/tt0054475/,The Wild Ride,1960,"['Crime', 'Drama']",,"$30,000",,PG-13,4.4,627
130,https://www.imdb.com/title/tt0053740/,The Concrete Jungle,1960,"['Crime', 'Drama', 'Thriller']",,"$200,000",,,6.9,"1,196"
131,https://www.imdb.com/title/tt0054115/,Never Let Go,1960,"['Crime', 'Drama', 'Thriller']",,,,,7.1,"1,082"
132,https://www.imdb.com/title/tt0053602/,The Angry Silence,1960,['Drama'],,"GBP98,000",,,7.3,"1,119"
133,https://www.imdb.com/title/tt0053750/,The Dark at the Top of the Stairs,1960,['Drama'],,,,,7.1,668
134,https://www.imdb.com/title/tt0053561/,5 Branded Women,1960,"['Drama', 'War']",,,,,6.7,441
135,https://www.imdb.com/title/tt0053849/,The Gallant Hours,1960,"['Biography', 'Drama', 'War']",,,,,7.1,"1,340"
136,https://www.imdb.com/title/tt0052607/,The Battle of the Sexes,1960,['Comedy'],,"GBP133,060",,,6.7,"1,174"
137,https://www.imdb.com/title/tt0054020/,The Leech Woman,1960,"['Horror', 'Romance', 'Sci-Fi']",,,,,4.6,"1,589"
138,https://www.imdb.com/title/tt0053765/,Devi,1960,['Drama'],"$93,215",,,,7.8,"1,784"
139,https://www.imdb.com/title/tt0053772/,The Devil's Eye,1960,"['Comedy', 'Drama', 'Fantasy']",,,,,7.2,"3,467"
140,https://www.imdb.com/title/tt0054417/,Two Way Stretch,1960,"['Comedy', 'Crime']",,,,,7.0,"1,779"
141,https://www.imdb.com/title/tt0054263/,The Warrior Empress,1960,"['Adventure', 'Drama', 'Romance']",,,,,5.3,107
142,https://www.imdb.com/title/tt0055452/,The Sinister Urge,1960,"['Crime', 'Drama', 'Thriller']",,"$20,152",,,2.7,"1,349"
143,https://www.imdb.com/title/tt0053228/,The Red Circle,1960,"['Thriller', 'Crime']",,"DEM600,000",,,6.2,370
144,https://www.imdb.com/title/tt0054358/,Sword of Sherwood Forest,1960,"['Adventure', 'Drama', 'History']",,,,,6.0,"1,073"
145,https://www.imdb.com/title/tt0055328/,The Private Lives of Adam and Eve,1960,"['Comedy', 'Fantasy']",,,,,4.6,108
146,https://www.imdb.com/title/tt0053583/,All the Young Men,1960,"['Action', 'Drama', 'War']",,,,,6.2,485
147,https://www.imdb.com/title/tt0054197/,Portrait in Black,1960,"['Crime', 'Drama', 'Mystery', 'Thriller']",,"$1,400,000",,,6.5,"1,191"
148,https://www.imdb.com/title/tt0054004/,Black Cross,1960,"['Adventure', 'Drama', 'History', 'Romance', 'War']",,"PLN33,000,000",,,6.8,"1,676"
149,https://www.imdb.com/title/tt0053570/,Adua e le compagne,1960,"['Comedy', 'Drama']",,,,,7.6,809
150,https://www.imdb.com/title/tt0053643/,Bell' Antonio,1960,"['Comedy', 'Drama']",,"ITL67,000,000",,,7.4,"1,261"
151,https://www.imdb.com/title/tt0052949/,Journey to the Lost City,1960,['Adventure'],,,,,6.7,207
152,https://www.imdb.com/title/tt0054095/,The Mountain Road,1960,"['Drama', 'War']",,,,,6.3,709
153,https://www.imdb.com/title/tt0053699/,"Carry on, Constable",1960,['Comedy'],,,,,6.3,"2,102"
154,https://www.imdb.com/title/tt0054285/,Atom Age Vampire,1960,"['Horror', 'Sci-Fi']",,,,,3.8,"1,378"
155,https://www.imdb.com/title/tt0054330/,Assignment: Outer Space,1960,['Sci-Fi'],,,,,3.6,768
156,https://www.imdb.com/title/tt0054377/,Testament of Orpheus,1960,"['Biography', 'Fantasy']",,,"$1,850",,7.3,"2,790"
157,https://www.imdb.com/title/tt0054328/,Under Ten Flags,1960,"['Drama', 'War']",,,,,6.6,422
158,https://www.imdb.com/title/tt0053908/,Hideout in the Sun,1960,"['Crime', 'Drama']",,,,,4.7,156
159,https://www.imdb.com/title/tt0053366/,Too Young to Love,1960,['Drama'],,,,,5.9,70
160,https://www.imdb.com/title/tt0055239/,Not Tonight Henry,1960,['Comedy'],,"$40,000",,,5.3,66
161,https://www.imdb.com/title/tt0054230/,The Rat Race,1960,"['Comedy', 'Drama', 'Romance']",,,,,6.7,"1,033"
162,https://www.imdb.com/title/tt0053912/,High Time,1960,"['Comedy', 'Musical']",,,,,6.2,567
163,https://www.imdb.com/title/tt0054119/,Niewinni czarodzieje,1960,"['Drama', 'Music', 'Romance']",,,,,7.4,"1,076"
164,https://www.imdb.com/title/tt0054351/,The Subterraneans,1960,['Drama'],,"$931,724",,,5.2,272
165,https://www.imdb.com/title/tt0054368/,Tarzan the Magnificent,1960,"['Action', 'Adventure']",,,,,6.7,611
166,https://www.imdb.com/title/tt0052680/,Cash McCall,1960,"['Drama', 'Romance']",,,,,6.4,"1,062"
167,https://www.imdb.com/title/tt0054144/,When a Woman Ascends the Stairs,1960,['Drama'],,,"$51,775",,8.1,"3,532"
168,https://www.imdb.com/title/tt0053593/,The Amazing Transparent Man,1960,"['Horror', 'Sci-Fi']",,"$100,000",,,4.0,"2,044"
169,https://www.imdb.com/title/tt0053742/,The Crowded Sky,1960,"['Action', 'Adventure', 'Drama', 'Romance']",,,,,5.9,575
170,https://www.imdb.com/title/tt0053638/,The Battle of Austerlitz,1960,"['Drama', 'History', 'War']",,"$4,000,000",,,6.3,554
171,https://www.imdb.com/title/tt0052784/,Skeleton of Mrs. Morales,1960,"['Comedy', 'Crime', 'Horror']",,,,,8.1,727
172,https://www.imdb.com/title/tt0053861/,The Giants of Thessaly,1960,"['Adventure', 'Fantasy']",,,,,5.1,276
